Code,S_AL,S_T,n_AL,d_AL,n_ST,d_ST,D,D_c,W_T,W_AL,W_ST,R25,R50,R75
Turkey,0.0206,0.024,6,0.0661,1,0.0661,0.198,0.0661,36.0,24.4,11.6
Swan,0.0328,0.0383,6,0.0834,1,0.0834,0.25,0.0834,57.4,39.0,18.4
Swanate,0.0328,0.0411,7,0.0772,1,0.1029,0.257,0.1029,67.0,39.0,28.0
Sparrow,0.0521,0.0608,6,0.1052,1,0.1052,0.316,0.1052,91.2,61.9,29.3
Sparate,0.0521,0.0653,7,0.0974,1,0.1299,0.325,0.1299,102.0,62.3,44.7
Robin,0.0657,0.0767,6,0.1181,1,0.1181,0.355,0.1181,115.0,78.1,36.9
Raven,0.0829,0.0967,6,0.1327,1,0.1327,0.398,0.1327,145.0,98.4,46.6
Quall,0.1045,0.1219,6,0.1489,1,0.1489,0.447,0.1489,183.0,124.2,58.8
Pigeon,0.1318,0.1538,6,0.1672,1,0.1672,0.502,0.1672,230.0,155.9,74.1
LA125-Penguin,0.1662,0.1939,6,0.1878,1,0.1878,0.563,0.1878,291.0,197.6,93.4,0.434,0.563,0.611
Waxwing,0.2095,0.2211,18,0.1217,1,0.1217,0.609,0.1217,289.0,249.8,39.2
Partridge,0.2095,0.2436,26,0.1013,7,0.0788,0.642,0.2364,366.0,250.4,115.6
LA175-Ostrich,0.2355,0.2738,26,0.1074,7,0.0835,0.68,0.2505,412.0,282.2,129.8,0.306,0.336,0.366
Merlin,0.2642,0.2789,18,0.1367,1,0.1367,0.684,0.1367,365.0,315.5,49.5
Linnet,0.264,0.307,26,0.1137,7,0.0884,0.72,0.2652,462.0,316.5,145.5
Oriole,0.2642,0.3259,30,0.1059,7,0.1059,0.741,0.3177,526.0,317.0,209.0
Chickadee,0.3122,0.3295,18,0.1486,1,0.1486,0.743,0.1486,431.0,372.5,58.5
Ibis,0.312,0.3628,26,0.1236,7,0.0961,0.783,0.2883,546.0,374.1,171.9
Lark,0.3121,0.3849,30,0.1151,7,0.1151,0.806,0.3453,622.0,375.1,246.9
Pelican,0.3747,0.3955,18,0.1628,1,0.1628,0.814,0.1628,517.0,446.8,70.2
Flicker,0.3747,0.4233,24,0.141,7,0.094,0.846,0.282,614.0,449.5,164.5
LA280-Hawk,0.3744,0.4353,26,0.1354,7,0.1053,0.858,0.3159,655.0,448.6,206.4,0.193,0.212,0.231
Hen,0.3747,0.4621,30,0.1261,7,0.1261,0.883,0.3783,746.0,449.7,296.3
Osprey,0.4369,0.4621,18,0.1758,1,0.1758,0.879,0.1758,603.0,521.1,81.9
Parakeet,0.4372,0.4938,24,0.1523,7,0.1015,0.914,0.3045,716.0,524.2,191.8
Dove,0.4371,0.5083,26,0.1463,7,0.1138,0.927,0.341,765.0,523.9,241.1
Eagle,0.4371,0.5391,30,0.1362,7,0.1362,0.953,0.409,871.0,523.3,345.7
Peacock,0.4753,0.537,24,0.1588,7,0.1059,0.953,0.318,779.0,570.2,208.8
Squab,0.4749,0.5522,26,0.1525,7,0.1186,0.966,0.356,832.0,569.1,261.9
Teal,0.4751,0.5834,30,0.142,19,0.0852,0.994,0.426,939.0,571.5,367.5
Kingbird,0.4997,0.5275,18,0.188,1,0.188,0.94,0.188,690.0,596.4,93.6
Rook,0.4956,0.5643,24,0.1628,7,0.1085,0.977,0.326,818.0,598.8,219.2
Grosbeak,0.4995,0.5808,26,0.1564,7,0.1216,0.99,0.365,873.0,598.7,275.3
Swift,0.4994,0.5133,36,0.1329,1,0.1329,0.93,0.133,643.0,596.0,47.0
Egret,0.4995,0.6135,30,0.1456,19,0.0874,1.019,0.437,987.0,600.2,386.8
Flamingo,0.5238,0.5917,24,0.1667,7,0.1111,1.0,0.333,858.0,628.2,229.8
Crow,0.562,0.6347,54,0.1151,7,0.1151,1.04,0.345,920.0,674.0,246.0
Starling,0.562,0.6535,26,0.1659,7,0.129,1.051,0.387,984.0,674.2,309.8
Redwing,0.5617,0.6897,30,0.1544,19,0.0926,1.081,0.463,1109.0,675.0,434.0
Coot,0.6244,0.6417,36,0.1486,1,0.1486,1.04,0.148,804.0,745.0,59.0
Cuckoo,0.6244,0.7053,24,0.182,7,0.1213,1.092,0.364,1024.0,750.0,274.0
Drake,0.6247,0.7264,26,0.1749,7,0.136,1.108,0.408,1093.0,749.0,344.0,0.117,0.128,0.139
Mallard,0.6245,0.7669,30,0.1628,19,0.0977,1.14,0.489,1234.0,751.0,483.0
Tern,0.6242,0.6674,45,0.1329,7,0.0886,1.063,0.266,895.0,748.9,146.1
LA455-Condor,0.624,0.7049,54,0.1213,7,0.1213,1.092,0.364,1022.0,748.0,274.0,0.117,0.129,0.140
Crane,0.6873,0.7764,54,0.1273,7,0.1273,1.15,0.382,1126.0,824.0,302.0
Ruddy,0.7066,0.7555,45,0.1414,7,0.0943,1.131,0.283,1013.0,847.0,166.0
Canary,0.7069,0.7985,54,0.1291,7,0.1291,1.162,0.387,1158.0,848.0,310.0
Corncrake,0.7492,0.8011,20,0.2184,7,0.0971,1.165,0.291,1074.0,899.0,175.0
Rail,0.7492,0.801,45,0.1456,7,0.0971,1.165,0.291,1075.0,899.0,176.0
Towhee,0.7494,0.8156,48,0.141,7,0.1097,1.175,0.329,1123.0,899.0,224.0
Redbird,0.7494,0.8465,24,0.1994,7,0.1329,1.196,0.399,1228.0,899.0,329.0
LA545-Cardinal,0.7491,0.8462,54,0.1329,7,0.1329,1.196,0.399,1228.0,899.0,329.0,0.0983,0.108,0.117
Ortolan,0.8112,0.8673,45,0.1515,7,0.101,1.212,0.303,1163.0,973.0,190.0
Curlew,0.8112,0.9164,54,0.1383,7,0.1383,1.245,0.415,1329.0,973.0,356.0
Bluejay,0.8745,0.935,45,0.1573,7,0.1049,1.259,0.315,1254.0,1049.0,205.0
LA635-Finch,0.8745,0.9854,54,0.1436,19,0.0862,1.293,0.431,1430.0,1054.0,376.0,0.0851,0.0931,0.1010
Bunting,0.9367,1.0014,45,0.1628,7,0.1085,1.302,0.326,1342.0,1123.0,219.0
Grackle,0.9365,1.0552,54,0.1486,19,0.0892,1.338,0.446,1531.0,1128.0,403.0
Bittern,0.9987,1.0676,45,0.168,7,0.1121,1.345,0.336,1432.0,1198.0,234.0
Pheasant,0.9993,1.1259,54,0.1535,19,0.0921,1.382,0.461,1634.0,1205.0,429.0
Dipper,1.0614,1.1348,45,0.1733,7,0.1155,1.386,0.347,1521.0,1273.0,248.0
Martin,1.0614,1.1958,54,0.1582,19,0.0949,1.424,0.475,1735.0,1279.0,456.0
Bobolink,1.1235,1.2012,45,0.1783,7,0.1189,1.427,0.357,1611.0,1348.0,263.0
Plover,1.124,1.2664,54,0.1628,19,0.0977,1.465,0.489,1838.0,1355.0,483.0
Nuthatch,1.1862,1.2681,45,0.1832,7,0.1221,1.466,0.366,1700.0,1422.0,278.0
Parrot,1.1856,1.3357,54,0.1672,19,0.1003,1.505,0.502,1938.0,1429.0,509.0
Lapwing,1.2492,1.3355,45,0.188,7,0.1253,1.504,0.376,1790.0,1498.0,292.0
Falcon,1.2489,1.4072,54,0.1716,19,0.103,1.545,0.516,2042.0,1505.0,537.0
Chukar,1.3986,1.5122,84,0.1456,19,0.0874,1.602,0.437,2072.0,1685.0,387.0
Mockingbird,1.5979,1.6671,72,0.1681,7,0.1122,1.681,0.336,2163.0,1929.0,234.0
Bluebird,1.6931,1.8309,84,0.1602,19,0.0961,1.762,0.481,2508.0,2040.0,468.0
Kiwi,1.7022,1.7758,72,0.1735,7,0.1157,1.735,0.347,2300.0,2051.0,249.0
Thrasher,1.8155,1.9144,76,0.1744,19,0.0814,1.802,0.407,2523.0,2188.0,335.0
Jorea,1.975,2.0828,76,0.1819,19,0.085,1.88,0.425,2749.0,2384.0,365.0
Grouse,0.0628,0.0847,8,0.1,1,0.167,0.367,0.167,149.0,75.1,73.9
Petrel,0.08,0.1266,12,0.0921,7,0.0921,0.461,0.2763,254.0,95.9,158.1
Minorca,0.087,0.1378,12,0.0961,7,0.0961,0.481,0.2883,276.0,103.9,172.1
Leghorn,0.1057,0.1674,12,0.1059,7,0.1059,0.53,0.3177,336.0,127.0,209.0
Guinea,0.1249,0.1977,12,0.1151,7,0.1151,0.576,0.3453,396.0,149.1,246.9
Dotterel,0.1389,0.22,12,0.1214,7,0.1214,0.607,0.3642,441.0,166.4,274.6
Dorking,0.1499,0.2373,12,0.1261,7,0.1261,0.631,0.3783,476.0,179.7,296.3
Brahma,0.1598,0.302,16,0.1127,19,0.0977,0.714,0.4885,625.0,189.9,485.1
Cochin,0.166,0.302,12,0.1327,7,0.1327,0.663,0.3981,527.0,198.8,328.2
